0.0 33.333333333333336 66.666666666666671 100.0 133.33333333333334 166.66666666666669 200.0 233.33333333333334 266.66666666666669 300.0 333.33333333333337 366.66666666666669 400.0 433.33333333333337 466.66666666666669 500.00000000000006 533.33333333333337 566.66666666666674 600.0 633.33333333333337 666.66666666666674 700.0 733.33333333333337 766.66666666666674 800.0
48 45 27 16 30 23 23 12 23 12 11 16 15 24 16 14 11 25 16 23 20 27 34 22 19
30 33 42 43 23 26 14 19 22 51 42 29 47 42 45 44 26 12 24 17 17 21 16 17 17
47 42 37 46 51 43 26 15 19 18 19 17 22 30 23 13 16 16 15 20 25 12 10 12 9
32 36 33 31 37 29 19 9 14 17 12 20 16 23 21 17 21 15 15 10 13 16 23 20 18
37 22 19 15 18 14 23 23 26 39 17 14 13 17 25 18 20 21 28 17 21 18 16 20 18
35 36 43 30 41 34 37 35 40 40 41 39 36 28 14 18 18 10 14 12 24 21 20 15 15
41 45 43 45 45 31 21 13 9 17 14 25 19 19 13 16 23 17 18 15 14 28 16 30 20
48 36 27 42 22 20 25 22 17 16 20 18 19 20 12 16 17 14 14 13 18 11 16 17 14
40 41 29 21 10 17 13 22 13 19 27 33 26 11 15 13 19 16 14 27 19 19 16 17 10
33 35 38 25 9 18 17 16 13 13 20 20 14 17 16 27 13 18 22 21 9 16 18 10 14
48 39 31 36 23 12 16 22 23 10 22 20 19 17 13 17 17 14 27 14 17 24 25 18 19
41 27 12 11 19 22 12 13 17 12 21 12 17 19 6 8 10 21 13 25 15 14 18 21 13
45 18 23 26 16 21 13 18 24 20 21 27 24 21 17 21 22 17 10 18 18 11 14 23 15
45 45 35 33 33 35 26 16 26 21 17 24 24 23 22 31 21 16 24 23 18 15 16 24 19
38 23 14 21 18 17 15 21 16 21 13 14 17 14 12 16 15 12 21 18 29 28 19 18 15
49 40 18 16 19 24 18 13 12 18 12 14 18 17 34 27 25 19 28 26 16 15 23 19 22
34 24 16 18 16 8 12 11 17 15 17 20 17 27 24 19 12 17 9 16 11 16 17 15 18
35 43 13 21 9 19 16 23 17 20 24 23 16 17 13 8 18 12 9 12 21 14 14 16 24
39 30 12 23 23 12 17 17 18 17 10 20 20 9 11 19 15 12 14 17 12 19 16 20 16
34 37 43 43 18 16 27 20 12 23 17 17 17 13 19 11 17 20 10 15 10 17 11 18 16
45 32 36 42 43 19 17 16 20 18 21 16 21 13 18 28 21 24 23 25 29 21 26 20 19
44 53 41 55 43 40 40 22 20 30 24 29 31 19 19 23 14 13 17 18 17 16 20 17 20
36 25 9 22 11 20 17 18 16 21 10 20 16 12 19 19 17 17 23 16 13 19 17 11 16
42 42 48 17 14 24 16 24 23 20 25 29 21 16 18 22 18 21 27 17 14 21 18 22 21
37 44 38 33 14 11 20 14 16 23 20 15 32 36 12 21 13 15 7 10 20 12 21 20 23
43 27 26 27 24 17 24 25 18 12 18 14 18 23 28 18 15 26 11 22 20 11 20 18 11
52 39 41 43 50 45 43 20 16 16 20 15 15 16 17 11 22 20 14 16 10 15 15 22 18
50 24 39 38 20 17 14 13 19 6 13 18 11 17 16 17 20 17 15 10 10 15 21 17 9
39 27 15 12 10 23 25 18 7 14 22 13 11 11 28 33 23 31 30 33 26 22 13 17 15
39 31 27 13 11 21 19 27 22 15 12 17 17 19 18 24 17 23 16 16 23 16 19 25 20
45 51 37 12 15 18 20 16 23 20 24 18 17 13 9 17 12 15 10 24 20 19 19 16 12
45 38 25 24 28 21 27 36 21 19 22 30 9 21 21 14 18 16 16 23 10 13 14 18 17
49 45 43 42 54 38 23 19 20 17 19 34 26 16 22 17 15 20 16 22 15 16 10 17 8
33 29 19 21 16 12 19 25 19 18 21 29 32 20 11 23 25 19 18 22 22 16 21 22 21
43 41 47 25 18 20 14 19 21 11 20 10 26 18 22 12 15 9 22 18 16 11 19 15 10
52 30 18 16 19 15 30 17 15 8 24 14 15 14 13 16 11 15 19 10 15 16 19 19 14
51 53 50 48 46 28 19 18 8 20 21 20 26 27 14 27 23 27 21 18 21 18 19 27 20
53 43 22 20 18 18 17 15 26 19 17 16 28 12 16 15 16 14 15 19 15 15 11 16 14
47 30 18 26 23 24 22 14 17 13 21 12 18 15 14 23 14 17 22 23 29 19 15 26 7
50 17 11 17 10 15 20 19 14 11 11 11 22 15 19 15 14 15 11 22 11 11 7 13 17
46 34 39 29 15 19 12 17 21 20 16 26 31 27 25 28 23 17 14 14 14 20 8 24 22
43 30 19 30 22 16 13 21 21 20 20 15 22 20 19 15 38 28 21 23 22 15 19 23 20
35 46 36 37 33 57 23 17 17 19 27 21 27 25 14 18 14 21 24 14 11 19 15 23 18
35 48 43 31 14 19 17 26 28 30 29 27 18 11 12 22 11 10 21 19 9 26 13 14 13
52 36 28 41 32 34 35 34 31 14 21 20 15 26 17 12 9 10 10 13 12 18 18 21 11
34 49 33 33 14 14 13 19 25 18 26 17 20 16 19 20 14 8 11 15 15 13 22 18 20
45 37 35 18 24 25 20 21 11 23 16 20 25 22 17 16 23 21 21 17 6 20 9 19 23
37 41 35 39 54 44 47 45 45 40 29 22 14 12 20 19 15 17 20 10 21 22 19 19 12
30 46 28 44 35 28 17 19 21 19 19 15 17 7 18 19 25 16 26 26 17 25 12 19 27
44 36 29 44 40 43 43 32 34 27 39 42 45 44 34 49 35 28 21 24 22 13 22 19 10
40 46 23 19 13 17 21 17 14 14 14 14 13 25 12 14 17 10 23 17 16 20 15 16 18
34 51 41 37 12 18 12 15 10 13 9 19 18 51 44 38 40 50 35 13 22 15 21 21 23
45 40 47 51 34 36 23 10 9 18 12 15 12 8 15 14 18 23 21 21 16 15 13 9 17
39 42 43 27 20 16 13 21 14 14 12 19 12 14 9 20 10 18 14 18 25 16 19 26 21
51 45 50 37 22 29 21 12 18 14 12 27 23 26 18 18 21 16 16 14 15 15 20 20 27
48 49 54 50 40 52 50 66 55 26 16 24 17 33 20 18 11 14 11 14 18 18 14 17 23
43 51 22 11 18 22 13 15 19 21 18 20 27 25 18 22 15 18 25 14 22 15 19 15 25
42 55 15 20 13 15 19 19 19 19 17 18 22 25 17 23 9 17 13 16 17 24 15 19 24
44 44 30 13 17 20 20 14 16 13 18 7 10 15 11 14 17 22 18 15 24 14 15 16 17
37 47 41 27 16 11 9 20 21 17 12 16 19 19 18 26 23 16 15 19 16 18 15 16 17
40 44 40 15 16 20 17 16 22 22 18 28 21 19 20 14 20 12 16 21 21 18 21 16 17
43 37 46 42 51 48 45 47 58 48 50 28 13 8 15 24 15 15 14 15 18 16 23 16 20
48 54 57 19 15 18 14 15 12 16 24 16 17 20 19 16 14 14 22 14 15 10 22 23 16
53 54 36 26 26 23 17 20 10 21 23 19 7 22 15 16 25 22 27 26 24 13 18 14 12
40 35 27 16 20 20 16 12 11 17 15 16 10 17 12 15 10 20 17 16 17 21 15 15 16
43 53 45 29 15 16 22 20 16 12 10 18 16 17 20 10 17 23 21 13 15 21 19 23 16
50 40 25 13 15 25 12 19 17 16 11 19 18 19 23 19 18 19 14 11 19 23 15 22 11
38 47 18 19 15 25 28 28 28 20 25 20 22 17 22 17 17 24 24 15 18 22 15 10 13
33 30 22 18 26 17 16 12 16 19 14 16 15 11 12 17 11 19 10 14 20 17 22 24 31
50 51 43 42 22 15 10 13 20 23 42 53 19 14 20 18 12 12 18 16 19 20 16 15 11
